"E","U"
"Nau","نو"
"Naubahar","نوبہار"
"Nauko","نکو"
"Naul","نول"
"Naung","نورنگ"
"Naurang","نورنگ"
"Nauring","نورنگ"
"Naushad","نوشاد"
"Nausher","نوشير"
"Naveed","نويد"
"Navees","نويس"
"Nawab","نواب"
"Nawaban","نواباں"
"Nawan","نواں"
"Nawash","نوازش"
"Nawaz","نواز"
"Nawazish","نوازش"
"Nayar","نير"
"Nayer","نير"
"nayne","نین"
"Nayyab","ناياب"
"Nayyar","نير"
"Nazakat","نزاکت"
"Nazar","نذر"
"Nazeer","نزير"
"Nazim","ناظم"
"Nazimabad","ناظم آباد"
"Nazir","نزير"
"NBA","نيشنل بينک"
"NBP","نيشنل بنک"
"Near","نزد"
"Necokarah","نيکوکارہ"
"Neema","نيما"
"Neemafil","نيمافل"
"Neemaphil","نيمافل"
"Neham","نہم"
"Nemafil","نيمافل"
"Net","نقد"
"New","نيا"
"News","نيوز"
"Nia","نيا"
"Niagara","نياگرا"
"Niaz","نياز"
"Niazi","نيازى"
"Night","نائٹ"
"Nijabat","نجابت"
"Nika","نکا"
"Niku","نکو"
"nil","۔"
"Nimra","نمرا"
"Nisa","نسا"
"Nisar","نثار"
"Nishan","نشان"
"Nishat","نشاط"
"Nishatabad","نشاط آباد"
"Nishi","نشى"
"Nishtarabad","نشترآباد"
"Nishter","نشتر"
"Nissoana","نسوآنہ"
"Nither","نٹھر"
"Nizam","نظام"
"No","نمبر"
"No.","نمبر"
"No.1","نمبر1"
"No.127","نمبر127"
"No.128","نمبر128"
"No.129","نمبر129"
"No.131","نمبر131"
"No.132","نمبر132"
"No.134","نمبر134"
"No.140","نمبر140"
"No.143","نمبر143"
"No.144","نمبر144"
"No.151","نمبر151"
"No.152","نمبر152"
"No.153","نمبر153"
"No.158","نمبر158"
"No.184","نمبر184"
"NO.187","نمبر187"
"No.2","نمبر2"
"NO.204","نمبر204"
"No.206","نمبر206"
"No.208","نمبر208"
"No.209","نمبر209"
"No.210","نمبر210"
"No.223","نمبر223"
"No.225","نمبر225"
"No.232","نمبر232"
"No.240","نمبر240"
"No.241","نمبر241"
"No.242","نمبر242"
"No.251","نمبر251"
"No.252","نمبر252"
"No.4","نمبر4"
"No.463","نمبر463"
"No.484","نمبر484"
"No.495","نمبر495"
"No.4-Gagh","نمبر4گھگھ"
"No.5","نمبر5"
"No.6","نمبر6"
"Nokia","نوکيا"
"Non","نان"
"Noon","نون"
"Nooor","نور"
"Noor","نور"
"Noorani","نورانى"
"Noorpur","نورپورہ"
"Noorwala","نوروالا"
"Norang","نورنگ"
"Norcotics","نارکوٹکس"
"Noreen","نورين"
"North","نارتھ"
"Nosheer","نوشير"
"Nosher","نوشير"
"Not","نیں"
"Nouman","نعمان"
"Novatech","نوواٹيک"
"Now","حال"
"Numberdar","نمبردار"
"Nusrat","نصرت"
"Nut","نت"
"O","او"
"O/E","اوپن اينڈ"
"OASI","اواےايس آئى"
"OB","آرڈر بک"
"Obaid","عبيد"
"Ocean","اوشين"
"OCS","او سى ايس"
"Odan","اوڈاں"
"Oddanwali","اوڈانوالى"
"of","آف"
"Off","اف"
"office","آفس"
"Officer","آفيسر"
"Ograee","اوگرائى"
"Ograi","اوگرائى"
"Oil","آئل"
"Okara","اوکاڑہ"
"Old","اولڈ"
"Oldage","اولڈ ايج"
"Olympic","اولمپک"
"On","آن"
"One"," ايک"
"Online","اون لائن"
"Open","اوپن"
"Open End","اوپن اينڈ"
"Openend","اوپن اينڈ"
"opening","اوپننگ"
"Openning","اوپنگ"
"Operater","آپريٹر"
"Operating","آپريٹنگ"
"Operation","آپريشن"
"Operational","اوپريشنل"
"Operator","آپريٹر"
"Opp","بالمقابل"
"Opposite","بالقابل"
"Orangi","اورنگي"
"Order","ارڈر"
"Orderly","اردلى"
"Ordinary","آرڈينرى"
"organization","آرگنائزيشن"
"Organized","آرگنائزڈ"
"Original","اصل"
"Orix","اوريکس"
"OSI","اوايس آئى"
"Other","دوسرے"
"Others","دوسرى"
"Over","اوور"
"Overheads","اوورہيڈز"
"Overseas","اوورسيز"
"Owners","اونرز"
"P","پى"
"P/L","پرافٹ لاس"
"Paal","پال"
"Packing","پيکنگ"
"Pahar","پہاڑ"
"Paharr","پہاڑ"
"Paid","پيڈ"
"Paikistan","پاکستان"
"Pairvi","پيروى"
"paisa","پیسہ"
"Pak","پاک"
"Paka","پکا"
"Pakay","پکے"
"Pakistan","پاکستان"
"Pakki","پکى"
"Pakky","پکے"
"Panel","پينل"
"Pani","پانى"
"Pannel","پينل"
"Pansera","پينسرہ"
"Paper","پيپر"
"Papercone","پيپرکون"
"Papers","پيپرز"
"Park","پارک"
"Parke","پارک"
"Parties","پارٹيز"
"Parts","پارٹس"
"Parvaiz","پرويز"
"Parveen","پروين"
"Parvez","پرويز"
"Pasban","پاسبان"
"Pathan","پٹھان"
"Pathay","پھٹے"
"Patri","پترى"
"Patroling","پٹرولنگ"
"Patrolling","پٹرولنگ"
"Patwari","پٹوارى"
"Pawli","پاولى"
"pay","پے"
"Payment","پے منٹ"
"Pc","پى سى"
"PCA","پى سى اے"
"PCO","پى سى او"
"Peddy","مو نجی"
"Peer","پير"
"Peeran","پيرن"
"Peeranwala","پيرانوالہ"
"Peerwala","پيروالہ"
"Pehlwan","پھلوان"
"Pelo","پيلو"
"Pelowal","پيلووال"
"Pencil","پنسل"
"Peon","چپڑاسى"
"Peoples","پيپلز"
"Pepper","پيپر"
"Person","پرسن"
"Pervaiz","پرويز"
"Peshawar","پشاور"
"Peshawer","پشاور"
"Petrol","پٹرول"
"Petrole","پٹرول"
"Petrolium","پيٹروليم"
"Pharoo","فيرو"
"Pharu","فيرو"
"Phase","فيز"
"Phatay","پھٹے"
"Phearu","فيرو"
"Pheru","فيرو"
"Phone","فون"
"Photo","فوٹو"
"Photographer","فوٹو گرافر"
"Photographic","فوٹوگرافک"
"Photostate","فوٹوسٹيٹ"
"PHP","پى ايچ پى"
"PI","پى آئى"
"Picket","پکٹ"
"Pindi","پنڈى"
"Pipal","پپل"
"Piple","پپل"
"Piplianwala","پپليانوالہ"
"Pir","پير"
"Piran","پيرن"
"Pitwari","پٹوارى"
"Pizza","پیزا"
"Place","پليس"
"Plan","پلان"
"Plant","پلانٹ"
"PLASTIC"," پلاسٹک"
"Plaza"," پلازہ"
"Plot"," پلاٹ"
"Plus","پلس"
"PO","پى او"
"Poiner","پائنير"
"Point","پوائنٹ"
"poli","پولى"
"Police","پوليس"
"Polie","پوليس"
"Polyeaster","پولى ايسٹر"
"Polyester"," پوليسٹر"
"Polyster"," پوليسٹر"
"Polythin","پولى تھين"
"POLYTHINE"," پولىتھين"
"Poor","عربیب"
"Portion"," پورشن"
"Post","پوسٹ"
"Postage"," پوسٹيج"
"Posts","پوسٹس"
"Power","پاور"
"PP","پى پى"
"PPC","ت پ"
"PQR","پى کيو آر"
"Pre","پرى"
"Premium","پريميم"
"Prepaid","ادا شدہ"
"Presession","پريسيشن"
"President","صدر"
"Presives","پري سيوز"
"Press","پريس"
"Pressing","پريسنگ"
"Previous","سابقہ"
"Print","پرنٹ"
"Printer","پرنٹر"
"Printers","پرنٹرز"
"Printing","پرنٹنگ"
"Prises","پرائزز"
"Private","پرائيويٹ"
"PRO","پى آر او"
"Probationer","پروبيشنر"
"Process","پراسس"
"Processing","پراسسنگ"
"Products","پروڈکٹس"
"Proficient","پروفيشنٹ"
"Profit","نفع"
"Programmer","پروگرامر"
"progress","پراگرس"
"Promoted","ترقياب"
"Property","پراپرٹى"
"Provident","پراويڈنٹ"
"Provion","پروويڎن"
"Provision","پروويڎن"
"Prozi","پروزى"
"PRTC","پى آر ٹى سى"
"PS","تہانہ"
"PSO","پى ايس او"
"PTS","پى ٹى ايس"
"Pul","پل"
"Pulian","پلياں"
"Pulli","پلى"
"Pump","پمپ"
"Punja","پنجہ"
"Punjab","پنجاب"
"Pur","پور"
"Pura","پورہ"
"Purana","پرانا"
"Purani","پرانى"
"Purchae","پرچيز"
"Purchase","خريد"
"Purchases","خريد"
"Pvt","پرائيويٹ"
"Pvt.","پرائيويٹ"
"Q","کيو"
"Qadarpur","قادر پور"
"Qadeem","قديم"
"Qadeemi","قديمى"
"Qadeer","قدير"
"Qademi","قديمى"
"Qadir","قادر"
"Qadirpur","قادر پور"
"Qadri","قادرى"
"Qadus","قدوس"
"Qaim","قائم"
"Qaisar","قيصر"
"Qaiser","قيصر"
"Qalab","قلب"
"Qalandar","قلندر"
"Qalander","قلندر"
"Qalib","قلب"
"Qamar","قمر"
"Qambar","قمر"
"Qamber","قمر"
"Qari","قارى"
"Qasaban","قصاباں"
"Qasai","قصائى"
"Qasar","قصر"
"Qasba","قصبہ"
"Qasim","قاسم"
"Qasoana","کسوآنہ"
"Qasoor","قصور"
"Qasor","قصور"
"Qasr","قصر"
"Qasra","قصر"
"Qasra-e Aal-a-Imran","قصر ال عمران"
"Qasray","قصر"
"Qasre","قصر"
"Qasr-e-Ghulam","قصر غلام"
"Qasr-e-Zahra","قصرزہرا"
"Qasre-Zahra","قصرزہرا"
"Qassaban","قصاباں"
"Qatub","قطب"
"Qayyum","قيوم"
"Qazi","قاضى"
"Qazian","قاضياں"
"Qazianwali","قاضياں"
"Qazim","کاظم"
"Qeri","کرى"
"Qilla","قلعہ"
"Qrangi","کورنگى"
"QTRS","کوارٹرز"
"Quadri","قادرى"
"Quaid","قائد"
"Quaim","قائم"
"Queen","کوئين"
"Quereshi","قريشى"
"Quetta","کويٹہ"
"Qumar","قمر"
"Qurashian","قريشاں"
"Qurban","قربان"
"Quresh","قريش"
"Qureshi","قريشى"
"Qutab","قطب"
"Qutta","کويٹہ"
"R","آر"
"R/O","سکنہ"
"R/OMoh","سکنہ محلہ"
"R/OMoh:","سکنہ محلہ"
"R/S","رنگ سپننگ"
"Rab","رب"
"Rabbani","ربانى"
"Rabnawaz","ربنواز"
"Rabwah","ربوہ"
"Rafaqat","رفاقت"
"Rafee","رفيع"
"Rafi","رفيع"
"Rafiq","رفيق"
"Rafique","رفيق"
"Raghib","راغب"
"Raheem","رحيم"
"Rahim","رحيم"
"Rahman","رحمان"
"Rahmat","رحمت"
"Rai","رائے"
"Rail","ريل"
"Railway","ريلوے"
"Rait","ريت"
"Raiwind","رائيونڈ"
"Raiz","رياض"
"Raj","راج"
"Raja","راجہ"
"Rajab","رجب"
"Rajana","رجانہ"
"Rajawa","رجوعہ"
"Rajay","راجے"
"Rajba","راجباہ"
"Rajbana","رجبانہ"
"Rajeet","رجيت"
"Rajiwali","راجےوالى"
"Rajkan","راجکان"
"Rajoa","رجوعہ"
"Rajowa","رجوعہ"
"Rajpoot","راجپوت"
"Raju","راجو"
"Rakh","رکھ"
"Rakha","رکھا"
"Ram","رام"
"Ramzan","رمضان"
"Rana","رانا"
"Range","رينج"
"Rangoo","رنگو"
"Rani","رانى"
"Ranjeet","رانجيت"
"Ranjha","رانجھا"
"Rao","راؤ"
"Raod","روڈ"
"Rasheed","رشيد"
"Rashid","رشيد"
"Rashidi","راشدى"
"Rasol","رسول"
"Rasool","رسول"
"Rasoolpura","رسولپورہ"
"Rasul","رسول"
"rate","ریٹ"
"Ratta","رتہ"
"Rauf","رؤف"
"Ravi","راوى"
"Raw","را"
"Rawalpindi","راوالپنڈى"
"Rayhan","ریحان"
"Raza","رضا"
"Razak","رزاق"
"Razaq","رزاق"
"Razia","رضيہ"
"Razzak","رزاق"
"Razzaq","رزاق"
"Re","دوبارہ"
"Reader","ريڈر"
"Reaz","رياض"
"Receipts","وصولياں"
"Receivables","وصولياں"
"Receiveable","وصولياں"
"Received","وصول"
"Recived","وصولي"
"record","ريکارڈ"
"recovery","ريکورى"
"Recruit","ريکروٹ"
"Ref","ريفرينس"
"Refrection","ممنى"
"Refund","ريفنڈ"
"Regency","ريجنسى"
"Regimental","رجمنٹل"
"Rehana","ريحانہ"
"Rehm","رحم"
"Rehman","رحمان"
"Rehmani","رحمانى"
"Rehmat","رحمت"
"Rehmatullah","رحمت اللہ"
"Rehmo","رحمو"
"Rehmoon","رحمو"
"Rehray","ریڑھے"
"Reinstated","بحال"
"Reliance","ريلائنس"
"Remunerations","ريمنريشن"
"Rent","رينٹ"
"Repair","مرمت"
"Repairing","مرمت"
"Replacement","تبد ل"
"report","رپورٹ"
"Rescue","ريسکيو"
"Reserve","ريزرو"
"Reserves","ريزرو"
"Residence","رہائش"
"Rest","ريسٹ"
"Retired","ريٹائرڈ"
"Retrun","رٹرن"
"Return","ريٹرن"
"Revenue","ريونيو"
"Reverce","واپسی"
"Rex","ريکس"
"RI","آرآئي"
"Rial","ریال"
"Riasat","رياست"
"Riaz","رياض"
"Rice","رائس"
"Rider","سوار"
"Riffat","رفعت"
"Right","رائٹ"
"Ring","رنگ"
"Rivaz","ريواز"
"Rizwan","رضوان"
"RM","آر ايم"
"Road","روڈ"
"Roat","روات"
"Rodo","روڈو"
"Rodu","روڈو"
"Roi","روئى"
"Rolan","رولان"
"Room","روم"
"Roomi","رومى"
"Roranwali","روڑانوالى"
"Rorranwali","روڑانوالى"
"Roving","روونگ"
"Royal","رائل"
"Roznamcha","روزنامچہ"
"Rs","روپے"
"RTC","ار ٹى سى"
"Rtd","ريٹائرڈ"
"Rungrazian","رنگريزاں"
"Running","رننگ"
"Rustam","رستم"
"Rustom","رستم"
"Rusul","رسول"
"S","ايس"
"S/O","ولد"
"S/T","سٹيلائٹ ٹاؤن"
"Saadat","سادات"
"Saadullah","سعد اللہ"
"Sabar","صابر"
"Saber","صابر"
"Sabir","صابر"
"Saboo","صابو"
"Sabtain","سبطين"
"Sabu","صابو"
"Sabzi","سبزى"
"Sack","سيک"
"Sacred","سيکرڈ"
"Sada","سدا"
"Sadaat","سادات"
"Sadaqat","صداقت"
"Sadar","صدر"
"Sadar-ud-Din","صدرالدين"
"Sadar-u-Din","صدرالدين"
"Sadat","سادات"
"Saday","سدے"
"saddr","صدر"
"Sadhana","سدھانہ"
"Sadia","سعدیہ"
"Sadiq","صادق"
"Sadiqabad","صادق آباد"
"Sadiqia","صديقہ"
"Saeed","سعيد"
"Safadar","صفدر"
"Safdar","صفدر"
"Safia","صفيہ"
"Sagheer","صغير"
"Saghir","صغير"
"Saghira","صغيرہ"
"Sah","ساہ"
"Sahab","صاحب"
"Sahaba","صحابہ"
"Sahaloon","صالحوں"
"Saharan","سہارن"
"Sahib","صاحب"
"Sahrif","شريف"
"Said","سيد"
"Saif","سيف"
"Saifullah","سيف اللہ"
"Sailkot","سيالکوٹ"
"Saira","سرائے"
"Saith","سيٹھ"
"Sajad","سجاد"
"Sajadia","سجاديہ"
"Sajawal","ساجھوال"
"Sajhar","ساجھر"
"Sajid","ساجد"
"Sajjad","سجاد"
"Sajjadia","سجاديہ"
"Sakeena","سکينہ"
"Sakha","سکھا"
"Sakhawat","سخاوت"
"Sakhera","سکھيرا"
"Sakhi","سخي"
"SaKhira","سخيرا"
"Sakhwat","سخاوت"
"Sakina","سکينہ"
"Salabat","صلابت"
"Salah","صلاح"
"Salam","سلام"
"Salaries","تنخواہ"
"Salary","تنخواہ"
"Salay","تنخواہ"
"Sale","فروختگى"
"Saleem","سليم"
"Saleh","صالح"
"Salehoon","صالحوں"
"Sales","فروختگى"
"Salik","سالک"
"Salim","سليم"
"Salman","سليمان"
"Samad","صمد"
"Samana","ثمانہ"
"Samand","سمند"
"Samandoana","سمندوآنہ"
"Samanduwan","سمندوآنہ"
"Samanduwana","سمندوآنہ"
"Samar","ثمر"
"Sami","سميع"
"Samman","سمن"
"Samplex","سيمليکس"
"Samundri","سمندرى"
"Sana-ul-Haq","ثناالحق"
"Sangam","سنگم"
"Sanghra","سانگھڑا"
"Sangra","سنگرا"
"Sangrah","سانگرہ"
"Sanitary","سينٹرى"
"Sanozar","سنوزر"
"Saqi","ساقى"
"Saqib","ثاقب"
"Saqlain","ثقلين"
"Sar","سر"
"Sarai","سرائے"
"Sarang","سارنگ"
"Sardar","سردار"
"Sardara","سردارا"
"Sardaray","سردارے"
"Sardul","سردول"
"Sarfraz","سرفراز"
"Sargana","سرگانہ"
"Sargeant","سارجنٹ"
"Sargent","سارجنٹ"
"Sargodha","سرگودھا"
"Sari","سارى"
"Saritow","سريٹو"
"Saroo","سرو"
"Saru","سرو"
"Sarwar","سرور"
"Satellite","سيٹلائٹ"
"Sattar","ستار"
"Sattelite","سيٹلائٹ"
"Saudi","سعودى"
"Saudia","سعوديہ"
"Saving","سيونگ"
"Sawa","ساوا"
"Sawar","سرور"
"Sayd","سيد"
"Sayed","سيد"
"Sayyed","سيد"
"Sb","صاحب"
"Scale","کنڈا"
"Scales","سکيلز"
"Scess","سيس"
"School","سکول"
"Scrape","سکريپ"
"Screen","سکرين"
"SDC","ايس ڈى سى"
"SDPO","ايس ڈى پى او"
"SDPO/Chenab","ايس ڈى پى او چناب"
"SDPO/Chiniot","ايس ڈى پى او چنيوٹ"
"SDPO/Lalian","ايس ڈى پى او لالياں"
"Seari","سرائے"
"Secion","سيکشن"
"Secretary","سيکرٹرى"
"Sectarian","سيکٹيرين"
"Section","سيکشن"
"Sector","سيکٹر"
"Securities","سيکيورٹى"
"Security","سيکورٹى"
"Seed","سعيد"
"Sehala","سہالہ"
"Self","خود"
"Senior","سينئر"
"Sep","ستمبر"
"Serives","سروس"
"Service","سروس"
"Services","سروسز"
"Sesions","سيشن"
"Session","سيشن"
"Sessions","سيشنز"
"Sevil","سول"
"SFM","صوفى فلور مل"
"Sha","شاہ"
"Shaban","شعبان"
"Shabbar","شبر"
"Shabbir","شبير"
"Shabeer","شبير"
"Shabir","شبير"
"Shabnam","شبنم"
"Shad","شاد"
"Shadab","شاداب"
"Shadan","شادان"
"Shadi","شادى"
"Shadman","شادمان"
"Shady","شادى"
"Shafaqat","شفاقت"
"Shafi","شفيع"
"Shafiq","شفيق"
"Shafique","شفيق"
"Shafqat","شفقت"
"Shah","شاہ"
"Shah(late)","شاہ مرحوم"
"Shahab","شہاب"
"Shahabal","شہابل"
"Shahab-ud-Din","شہاب الدين"
"Shahadat","شہادت"
"Shahamand","شہامند"
"Shahay","شاہى"
"Shahbaz","شہباز"
"Shahdat","شہادت"
"Shaheed","شہيد"
"Shaheen","شاہين"
"Shahi","شاہى"
"Shahid","شاہد"
"Shahkot","شاہکوٹ"
"Shahnaz","شہناز"
"SHAHR","شھر"
"Shahrah","شاہراہ"
"Shahzad","شھزاد"
"Shahzada","شہزادہ"
"Shahzaib","شہزيب"
"Shahzed","شہزاد"
"Shaihid","شاہد"
"Shaikhan","شيخن"
"Shaireen","شيريں"
"Shairuaana","شيروآنہ"
"Shakeel","شکيل"
"Shakhpura","شيخوپورہ"
"Shakhupura","شيخوپورہ"
"Shakir","شآکر"
"Shakkoor","شکور"
"Shakoor","شکور"
"Shalimar","شاليمار"
"Sham","شام"
"Shamas","شمس"
"Shamim","شميم"
"Shamir","شمير"
"Shams","شمس"
"Shamshair","شمشير"
"Shamsher","شمشير"
"Shamsul","شمس ال"
"Shams-ul-Haq","شمس الحق"
"Shams-ul-Hassan","شمس الحسن"
"Sham-ul-Hassan","شمس الحسن"
"Shan","شان"
"Shankar","شنکر"
"Shaokat","شوکت"
"Shar","شير"
"Sharaf","شرف"
"Sharafat","شرافت"
"Share","شئر"
"Shares","حصص"
"shari","شریف"
"Sharia","شريعہ"
"Sharif","شريف"
"Sharifanwala","سريف والا"
"Sharqi","شرقى"
"Sharqia","شرقيہ"
"Sharqui","شرقى"
"Shaukat","شوکت"
"Shed","شيڈ"
"Sheet","شيٹ"
"SHEHAR","شہر"
"Shehbaz","شہباز"
"Shehr","شہر"
"Shehzad","شہزاد"
"Shehzada","شہزادہ"
"Sheikh","شيخ"
"Sheikhan","شيخاں"
"Sheikhupura","شيخوپورہ"
"Sheiks","شيخ"
"Shekhan","شيخ"
"Shekhopura","شيخوپورہ"
"Sher","شير"
"Shera","شيرا"
"Sheraz","شیراز"
"Sherki","شرقى"
"Shezan","شيزان"
"Shift","شفٹ"
"Shikhara","شيخارہ"
"SHO","ايس ايچ او"
"Shoaib","شعيب"
"shop","شاپ"
"Shoping","شاپنگ"
"Shopkeeper","دوکاندار"
"Shorkot","شورکوٹ"
"Short","شارٹ"
"Shoukat","شوکت"
"SI","ايس آئى"
"Siaain","سائيں"
"Sial","سيال"
"Sialkot","سيالکوٹ"
"SIAO","ايس آئى اے او"
"Sibtain","سبطين"
"Siddiq","صديق"
"Siddiqi","صديقى"
"Siddique","صديق"
"Siddiqui","صديقى"
"Side","سائيڈ"
"Sihala","سہالہ"
"Sihalah","سہالہ"
"Sikandar","سکندر"
"Sikander","سکندر"
"Sikhara","سکھارا"
"Silabut","صلابت"
"Silver","سلور"
"Simla","شملا"
"Simplex","سيملکس"
"Singh","سنگھ"
"Sipah","سپاہ"
"Sipra","سپرا"
"Siraj","سراج"
"Sister","سسٹر"
"Sitara","ستارہ"
"Site","سائٹ"
"Sjjaad","سجاد"
"Skina","سکینہ"
"Sliver","سلور"
"SM","ایس ايم"
"Small","سمال"
"Smart","سمارٹ"
"SME","ايس ايم اى"
"Snora","سنورا"
"Social","سوشل"
"Sodager","سوداگر"
"Sohail","سہيل"
"Sohna","سوھنا"
"Sohnay","سوہنے"
"Sohrab","سہراب"
"Sold","سولڈ"
"Sons","سنز"
"Sooba","صوبہ"
"Soot","سوت"
"Sooter","سوتر"
"Sotre","سٹور"
"Sotri","سوترى"
"Sottri","سوترى"
"SP","ايس پى"
"SP/HQrs","اپس پى ہيڈ کوارٹر"
"Spare","سپيئر"
"Spares","سپيئرز"
"Special","سپيشل"
"Spin","سپن"
"Sping","سپنگ"
"Spinghar","سپنگڑھ"
"Spining","سپنگ"
"Spinning","سپننگ"
"Split","سپلٹ"
"Sppining","سپننگ"
"Sqaud","سکاڈ"
"Squad","سکاڈ"
"Square","سکوائر"
"SRC","ايس آر سى"
"SRM","صوفى رائيس مل"
"SSP","سپاہ صحابہ"
"St","گلى"
"Staff","سٹاف"
"Stand","سٹينڈ"
"Standby","ساکن"
"Star","سٹار"
"Stars","سٹارز"
"Start","سٹارٹ"
"State","سٹيٹ"
"Station","سٹيشن"
"Stationary","سٹيشنرى"
"Stationery","سٹيشنرى"
"Stayen","سٹائن"
"Steno","سٹينو"
"Stick","سٹک"
"STM","صوفى ٹيکسٹائل مل"
"Stock","سٹاک"
"Stocks","سٹاکس"
"Store","سٹور"
"Stores","سٹورز"
"StPoint","نقطہ آغاز"
"Street","گلى"
"Suba","صوبہ"
"Subey","صوبے"
"Subsidy","سبسڈى"
"Sufi","صوفى"
"Sugar","شوگر"
"Suger","شوگر"
"Suhail","سہيل"
"Suit","سوٹ"
"Sujawal","ساجھووال"
"Suji","سوجى"
"Sukha","سکھا"
"Sulayman","سليمان"
"Suleman","سليمان"
"Sultan","سلطان"
"Sultana","سلطانہ"
"Sumandri","سمندرى"
"super","سپر"
"Superintendent","سپرنٹنڈنٹ"
"Suplier","سپلائر"
"Supliers","سپلائرز"
"Supplementary","اضافی"
"Supplier","سپلائر"
"Suppliers","سپلائرز"
"Supply","سپلائى"
"Surbana","سربانہ"
"Surplus","سرپلس"
"Surrounding","ملحقہ"
"Suspended","معطل"
"Sweeping","سويپنگ"
"Sweet","سويٹ"
"Sweety","سويٹى"
"Syad","سيد"
"Sycle","سائيکل"
"Sydan","سيداں"
"Syed","سيد"
"Syeda","سيدہ"
"Syedan","سيداں"
"Syer","سيد"
"Symplex","سيمپليکس"
"Systems","سسٹمز"
"T","ٹى"
"Tabaq","طباق"
"Tabarak","تبرک"
"Tabark","تبرک"
"Tabassam","تبسم"
"Tabootan","تابوتاں"
"Tahawar","تہاور"
"Tahir","طاہر"
"Tahli","ٹاہلى"
"Taili","تيلى"
"Taizab","تيزاب"
"Taj","تاج"
"Tajamal","تجمل"
"Tajammal","تجمل"
"Talaat","طلعت"
"Talab","طالب"
"Talian","ٹالياں"
"Talib","طالب"
"Taliwala","ٹالى والہ"
"Tallat","طلعت"
"Tamassal","تمسل"
"Tanga","ٹانگا"
"Tangible","ٹينجبل"
"Tanki","ٹينکى"
"Tanky","ٹينکى"
"Tanveer","تنوير"
"Tanvir","تنوير"
"Tanweer","تنوير"
"Taoseef","توصيف"
"Taqi","تقى"
"Taqwa","تقوىٰ"
"Tarar","تارڑ"
"Tariq","طارق"
"Tarkhan","ترکھان"
"Tarkhanwala","ترکھانوالا"
"Tasawar","تصور"
"Tasleem","تسليم"
"Tassadaq","تصدق"
"Tata","ٹاٹا"
"Tatar","تاتار"
"Tatari","تاتارى"
"Tauqeer","توقير"
"Tauseef","توصيف"
"Tawakal","توکل"
"Tawakel","توکل"
"Tawel","ٹاول"
"Tax","ٹيکس"
"Taxation","ٹيکسيشن"
"Taxations","ٹيکسيشنز"
"Taxes","ٹيکسز"
"Tayab","طيب"
"Tayyab","طيب"
"Tayyeba","طيبہ"
"Tazia","تعزيہ"
"Tcs","ٹي سي ايس"
"TD","ٹي ڈي"
"teacher","ٹيچر"
"Tear","آنسو"
"Techincal","ٹيکنيکل"
"Technical","ٹيکنيکل"
"Teeka","ٹکا"
"Teela","ٹيلا"
"Tehreek","تحريک"
"tehsil","تحصيل"
"Tehsildar","تحصيلدار"
"Tehzeeb","تہذیب"
"Tek","ٹيک"
"Telephone","ٹيلىفون"
"Temporary","عارضى"
"Tents","ٹينٹس"
"Term","مدت"
"Terrorist","دہشت گردى"
"Terry","ٹيرى"
"Tex","ٹيکس"
"Tex.","ٹيکس"
"Textile","ٹيکسٹائل"
"Textile,","ٹيکسٹائل"
"Textiles","ٹيکسٹائلز"
"Tezab","تيزاب"
"Thaheem","تہیم"
"Thair","طاہر"
"Thalla","تھیلہ"
"Thalochi","تھلوچى"
"Tharaj","تھراج"
"Thata","ٹھٹھہ"
"Thatha","ٹھٹھہ"
"Thathi","ٹھٹھى"
"Thati","ٹھٹھى"
"Thatta","ٹھٹھہ"
"Thatti","ٹھٹھى"
"Thattim","تھيم"
"The","دى"
"Theft","سرقہ"
"thing","اشیاء"
"Thitti","ٹھٹى"
"Thousand","ہزار"
"Thread","دھاگہ"
"Three","تہرى"
"Tiba","ٹبہ"
"Tibba","ٹبہ"
"Ticket","ٹکٹ"
"Tika","ٹکا"
"Tikka","ٹکا"
"Till","تل"
"Time","ٹائم"
"to","ٹو"
"Toba","ٹوبہ"
"Tofail","ظفيل"
"Tolya","توليہ"
"tools","اوزار"
"Tousif","توصيف"
"Towel","ٹاول"
"Towels","ٹاولز"
"Tower","ٹاور"
"Towlers","ٹاورز"
"Town","ٹاؤن"
"Town,","ٹاؤن"
"Trade","ٹريڈ"
"trader","ٹریڈر"
"Traders","ٹريڈرز"
"Traders,","ٹريڈرز"
"Trading","ٹريڈنگ"
"Traffic","ٹريفک"
"Training","ٹريننگ"
"Transfer","ٹرانسفر"
"Transferred","ٹرانسفرڈ"
"Transportation","ٹرانسپورٹيشن"
"Travel","ٹریول"
"Traveling","سفر"
"Travelling","سفر"
"Treasury","خزانہ"
"TREO","ٹى آر اى او"
"Trimmu","تريموں"
"Trimu","تريموں"
"Trust","ٹرسٹ"
"tt","ٹى ٹى"
"Ttraders","ٹريڈرز"
"Tufail","طفيل"
"Tuqleer","توقير"
"Turab","تراب"
"Turbat","تربت"
"Twon","ٹاون"
"Typist","ٹائپسٹ"
"U","يو"
"u/s","بجرم"
"Ubaidullah","عبيداللہ"
"UBL","يوبى ايل"
"Uch","اچ"
"Uchgul","اچگل"
"ud","الد"
"Ufone","یوفون"
"ul","ال"
"Ulfat","الفت"
"Ullah","اللہ"
"Umair","عمير"
"Umar","عمر"
"Umer","عمر"
"un","ان"
"Under","انڈر"
"Undlas","اندلس"
"UNI","يونى"
"Union","يونين"
"Unit","يونٹ"
"United","يونائٹڈ"
